Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.000351017288880456,0.00572423839036255,0.0416910263296034,0,0,0,0.844174517241107,0.00325337169411082,-1.21224316413194E-08,-3.30765715721422E-06,0.00117606779691291,-4.14749687743257E-08,0.00418042024693748,0,0,0,0,0,0,package://scanner_3d_new5/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scanner_3d_new5/meshes/base_link.STL,,Part_a-2;Part_s-1;Part_x-1;Part_w-1;Part_t-1;Part_m-1;Part_g-1;Part_b-1;Part_q-1;Part_e-1,Coordinate System4,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,8.41877998945614E-07,-8.25516782432256E-08,-0.000475671895243742,0,0,0,0.114546024913816,9.99334835546065E-05,1.86863963750721E-11,5.22431515258199E-10,9.99336722897717E-05,-5.12278480659033E-11,0.000197980141896741,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_1.STL,,Part_f-2;spur gear_am-4,Coordinate System2,Axis1,joint_1,continuous,0,-0.0600000000000002,0.125,0,0,0,base_link,0,0,-1,10,5,,,,,,,,,,
link_2,-3.60686921037919E-17,0.0382935237067527,0.0120133163875085,0,0,0,0.130209170515672,0.000560456925255092,6.08376884607281E-20,1.16213860354391E-19,0.000117060320800159,-1.92276710310855E-05,0.000666080571697117,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_2.STL,,spur gear_am-1;Part_c-1,Coordinate System3,Axis2,joint_2,continuous,0,0.0599999999999999,0.125,0,0,0,base_link,0,0,1,10,5,,,,,,,,,,
link_4,-7.46008485227897E-10,-0.013095935229173,-0.0122967797675922,0,0,0,0.0497537499681058,0.000111767090838865,-2.48853745544533E-14,2.46908726498996E-12,0.00011332789845957,1.61900640044945E-08,6.80511724838459E-06,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_4.STL,,Part_p-1;Part_z2-1,Coordinate System6,Axis3,joint_4,prismatic,0,0.241846751666049,0.0275000000000013,0,0,0,link_2,0,1,0,0,0,0,0,,,,,,,,
link_5,-4.60464421848479E-19,0,0.00683519548638936,0,0,0,0.00116345864679475,6.15728234494915E-08,1.47487062806364E-41,4.0739015370884E-24,6.15728234494915E-08,-2.95267669130561E-29,2.60458742041686E-08,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_5.STL,,Part_z3-1,Coordinate System7,Axis5,joint_5,continuous,0,-0.0130999999999998,0.0687500000000002,0,0,0,link_4,0,0,1,,,,,,,,,,,,
link_6,0.000246284814100316,0.000298486660129743,-6.05694078322644E-05,0,0,0,0.0447520708039158,3.94471475609022E-06,-2.44349761612521E-07,-2.80517746061149E-09,2.72774874783207E-05,1.17490437602076E-09,2.73620510920676E-05,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_6.STL,,IntelRealsense_D435_Multibody-1,Coordinate System5,Axis4,joint_6,continuous,0,-0.0021999999999997,0.0265,0,0,0,link_5,-1,0,0,,,,,,,,,,,,
link_3,-3.61972243245398E-07,-5.38168122082361E-07,0.0307567679290747,0,0,0,0.148349984790571,0.000413693313178528,-7.29772325224039E-09,-2.93962985133355E-10,0.000413669843683696,-4.36207232209225E-10,0.000825292470575692,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_3.STL,,Part_l-1;radial ball bearing_68_am-2;Part_d2-1;Part_f-1;Part_z4-1,Coordinate System1,Axis2,joint_3,continuous,0,0.0599999999999999,0.137,0,0,0,base_link,0,0,1,10,5,,,,,,,,,,
link_7,-0.0062518,-0.0024273,-0.0043905,0,0,0,0.073775,2.1842E-05,-8.6071E-06,-9.7119E-07,0.00013581,-2.3904E-07,0.00015509,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_7.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://scanner_3d_new5/meshes/link_7.STL,,plier_asm-1,Coordinate System8,Axis_joint_7,joint_7,fixed,0,0.00814550679950928,0.048046191990072,0,0,0,link_3,0,0,0,,,,,,,,,,,,
